uid;slug;titre;description;date_debut;date_fin;horaires;dates_texte;lieu_nom;adresse;code_postal;commune;latitude;longitude;categorie;gratuit;image_url;url_source;agenda_source;date_extraction
18540587;spectacle-la-vie-en-couleur-a-savigny-sur-braye;"Spectacle ""La vie en couleur"" à Savigny-sur-Braye";"Par la compagnie Balala... Spectacle ""La vie en couleur"" à Savigny-sur-Braye. Ce spectacle propose aux tout petits une découverte sensible du monde qui les entoure : chaque couleur évoque un objet ou";2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque-Ludothèque Agora Braye;7 Rue Hélène Boucher, 41360 Savigny-sur-Braye;41360;Savigny-sur-Braye;47.880414;0.807572;Festivals | concerts et spectacles;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
35564993;la-jeunesse-bouquine-atelier-creatif-9260711;La Jeunesse bouquine - Atelier Créatif;La Jeunesse bouquine - Atelier Créatif;2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Atelier;;;;Territoires Vendômois;2026-04-07
60202986;la-jeunesse-bouquine-bb-bouquine-541361;La Jeunesse bouquine - BB Bouquine;La Jeunesse bouquine - BB Bouquine;2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Heure du conte;;;;Territoires Vendômois;2026-04-07
79756323;la-jeunesse-bouquine-spectacle-la-vie-en-couleur-9046639;"La Jeunesse bouquine - Spectacle ""La vie en couleur""";"La Jeunesse bouquine - Spectacle ""La vie en couleur""";2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Spectacle;;;;Territoires Vendômois;2026-04-07
86025255;heure-du-conte-4779286;Heure du conte;Heure du conte;2026-04-08;2026-04-08;00:00–23:59;Mercredi 8 avril, 00h00;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Heure du conte;;;;Territoires Vendômois;2026-04-07
76502178;atelier-vivant-a-la-maison-botanique;Atelier vivant à la Maison Botanique;Viens jouer dans la nature ! Vacances 100% nature. Atelier vivant à la Maison Botanique. Notre Centre de Loisirs propose aux enfants de 3 à 13 ans des activités de découverte du patrimoine naturel et;2026-02-16;2026-04-16;07:30–17:00;16 février - 16 avril;Maison Botanique;8 Rue des Écoles, 41270 Boursay;41270;Boursay;48.01833;0.96891;;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
91344417;rejoignez-volabraye-votre-prochaine-mission-dinterim-vous-attend-avec-start-people-7323385;Rejoignez Volabraye : votre prochaine mission d'intérim vous attend avec Start People !;Participez à une session de recrutement organisée par Start People pour découvrir les opportunités de missions d'intérim chez Volabraye à Savigny-sur-Braye ! De nombreux postes d'ouvriers agro-alim;2026-04-08;2026-04-08;09:30–11:00;Mercredi 8 avril, 09h30;Vendôme - Agence VENDOME;41100 Vendôme, 41100 Vendôme;41100;Vendôme;47.787418;1.071736;['#TousMobilisés' | 'Recrutement'];;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
92177080;qui-a-sabote-les-chocolats;Qui a saboté les chocolats ?;En famille, vivez une aventure de Pâques au cœur de la ville... À l’occasion de Pâques, les familles vont adorer cette nouvelle enquête Randoland ! Un circuit pédestre en 8 étapes, au cœur de Vendôme;2026-04-04;2026-05-02;10:00–16:30;4 avril - 2 mai;Vendôme;47 Rue Poterie, 41100 Vendôme;41100;Vendôme;47.793092;1.065706;Pâques;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
24902151;la-jeunesse-bouquine-exposition-le-livre-dans-tous-ses-etats-5158680;"La Jeunesse Bouquine - Exposition ""Le livre dans tous ses états""";"La Jeunesse Bouquine - Exposition ""Le livre dans tous ses états""";2026-04-01;2026-04-30;10:00–18:00;1 - 30 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Exposition;;;;Territoires Vendômois;2026-04-07
32157736;la-jeunesse-bouquine-avril-2026-un-mois-dedie-a-la-litterature-de-jeunesse;La Jeunesse bouquine ! - Avril 2026 : un mois dédié à la littérature de jeunesse;La Jeunesse bouquine ! - Avril 2026 : un mois dédié à la littérature de jeunesse;2026-04-01;2026-04-30;10:00–18:00;1 - 30 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;;;;;Territoires Vendômois;2026-04-07
47383464;la-jeunesse-bouquine-exposition-les-petits-mythos-2125796;"La Jeunesse bouquine ! - Exposition ""Les Petits Mythos""";"La Jeunesse bouquine ! - Exposition ""Les Petits Mythos""";2026-04-01;2026-04-30;10:00–18:00;1 - 30 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Exposition;;;;Territoires Vendômois;2026-04-07
31344298;la-jeunesse-bouquine-fresque-participative-1402279;La Jeunesse bouquine - Fresque participative;La Jeunesse bouquine - Fresque participative;2026-04-01;2026-04-29;10:00–18:00;1 - 29 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Exposition;;;;Territoires Vendômois;2026-04-07
93773927;protegeons-les-oceans-3072033;Protégeons les océans;Protégeons les océans;2026-03-25;2026-04-25;09:00–12:00;25 mars - 25 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;Exposition;;;;Territoires Vendômois;2026-04-07
56789298;la-jeunesse-bouquine-malle-coups-de-coeur;La Jeunesse bouquine ! - Malle coups de coeur;La Jeunesse bouquine ! - Malle coups de coeur;2026-04-01;2026-04-11;10:00–13:00;1 - 11 avril;Médiathèque de Vendôme;Parc Ronsard, 41100 Vendôme;41100;Vendôme;47.792608;1.065549;;;;;Territoires Vendômois;2026-04-07
51504238;artistes-du-vendomois-a-la-chapelle-st-jacques-de-vendome;Artistes du Vendômois à la Chapelle St Jacques de Vendôme.;Exposition des Artistes du Vendômois à la Chapelle St Jacques de Vendôme. Exposition des Artistes du Vendômois à la Chapelle St Jacques de Vendôme. Jean-Pierre Renard, peintre et sculpteur - Neumi Dud;2026-04-03;2026-04-12;14:00–19:00;3 - 12 avril;Vendôme;47 Rue Poterie, 41100 Vendôme;41100;Vendôme;47.793092;1.065706;Exposition;;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
10792857;vos-allocations-conseils-actualisation-paiement-on-vous-dit-tout-166221;VOS ALLOCATIONS : conseils, actualisation, paiement, on vous dit tout !;Vous vous posez des questions sur vos allocations, l'actualisation ou la reprise d'emploi ? Cette réunion vous permet d'y voir clair, simplement et concrètement, sur vos démarches à France Travail.;2026-04-08;2026-04-08;14:30–15:15;Mercredi 8 avril, 14h30;Vendôme - Agence VENDOME;41100 Vendôme, 41100 Vendôme;41100;Vendôme;47.787418;1.071736;"[""S'informer""]";;https://cdn.openagenda.com/main/;;Territoires Vendômois;2026-04-07
